the  la
be  être
and  et
of  de
a  une
in  dans
to  pour
have  avoir
it  ce
i  je
that  ce
for  pour
you  toi
he  il
with  avec
on  au
do  fais
say  dire
this  ce
they  elles ou ils
at  à
but  mais
we  nous
his  le sien
from  à partir de
not  ne pas
n't  nt
by  par
she  elle
or  ou
as  comme
what  quel
go  va
their  leur
can  pouvez
who  oms
get  avoir
if  si
would  voudrais
her  son
all  tous
my  ma
make  fabriquer
about  sur
know  connaître
will  volonté
up  en haut
one  une
time  temps
there  là
year  an
so  alors
think  pense
when  lorsque
which  lequel
them  leur
some  quelque
me  moi
people  gens
take  prendre
out  en dehors
into  dans
just  juste
see  voir
him  lui
your  ton
come  viens
could  pouvait
now  à présent
than  que
like  aimer
other  autre
how  comment
then  ensuite
its  son
our  notre
two  deux
more  suite
these  celles-ci
want  vouloir
way  façon
look  voir
first  première
also  également
new  nouveau
because  car
day  journée
use  utiliser
no  non
man  homme
find  trouver
here  ici
thing  chose
give  donner
many  de nombreux
well  bien
only  seulement
those  celles
tell  dire
very  très
even  même
back  arrière
any  quelconque
good  bien
woman  femme
through  par
us  nous
life  la vie
child  enfant
work  travailler
down  vers le bas
may  mai
after  après
should  devrait
call  appel
world  monde
over  plus de
school  l'école
still  toujours
try  essayer
last  dernier
ask  interroger
need  besoin
too  aussi
feel  sentir
three  trois
state  etat
never  jamais
become  devenir
between  compris entre
high  haut
something  quelque chose
really  vraiment
most  plus
another  une autre
much  beaucoup
family  famille
own  posséder
leave  partir
put  mettre
old  vieux
while  tandis que
mean  signifier
keep  garder
student  élève
why  pourquoi
let  laisser
great  génial
same  même
big  gros
group  grouper
begin  commencer
seem  sembler
country  de campagne
help  aider
talk  parler
where  où
turn  tourner
problem  problème
every  tous
start  démarrer
hand  main
might  pourrait
american  américain
show  afficher
part  partie
against  contre
place  lieu
such  tel
again  de nouveau
few  quelque
case  cas
week  semaine
company  entreprise
system  système
each  chaque
right  droit
program  programme
hear  écouter
question  question
during  durant
play  jouer
government  gouvernement
run  cours
small  petit
number  numéro
off  désactivé
always  toujours
move  bouge toi
night  nuit
live  habitent
point  indiquer
believe  croyez
hold  tenir
today  aujourd'hui
bring  apporter
happen  arriver
next  suivant
without  sans pour autant
before  avant de
large  grande
million  million
must  devoir
home  domicile
under  en dessous de
water  l'eau
room  salle
write  écrivez
mother  mère
area  région
national  nationale
money  de l'argent
story  récit
young  jeune
fact  fait
month  mois
different  différent
lot  parcelle
study  étude
book  livre
eye  œil
job  travail
word  mot
though  mais
business  affaires
four  quatre
issue  publier
side  côté
kind  type
head  diriger
far  loin
black  le noir
long  long
both  tous les deux
little  peu
house  loger
yes  oui
since  puisque
provide  apporter
service  service
around  environ
friend  ami
important  important
father  père
sit  asseoir
away  une façon
until  jusqu'à ce que
power  puissance
hour  heure
game  jeu
often  souvent
yet  encore
line  ligne
political  politique
end  finir
among  parmi
ever  jamais
stand  supporter
bad  mal
lose  perdre
however  toutefois
member  membre
pay  payer
law  droit
meet  rencontrer
car  auto
city  ville
almost  presque
include  inclure
continue  continuez
set  ensemble
later  plus tard
community  communauté
name  nom
five  cinq
once  une fois que
white  blanche
least  moins
president  président
learn  apprendre
real  réel
change  changement
team  équipe
minute  minute
best  meilleur
several  nombreuses
idea  idée
kid  enfant
body  corps
information  information
nothing  rien
ago  depuis
lead  mener
social  social
understand  comprendre
whether  qu'il s'agisse
watch  regardez
together  ensemble
follow  suivre
parent  parent
stop  arrêter
face  visage
anything  rien
create  créer
public  publique
already  déjà
speak  parlez
others  les autres
read  lire
level  niveau
allow  autoriser
add  ajouter
office  bureau
spend  dépenser
door  porte
health  santé
person  la personne
art  art
sure  bien sur
war  guerre
history  l'histoire
party  fête
within  dans
grow  grandir
result  résultat
open  ouvrir
morning  matin
walk  marche
reason  raison
low  meugler
win  gagner
research  recherche
girl  fille
guy  mec
early  de bonne heure
food  aliments
himself  lui-même
moment  moment
air  air
teacher  prof
force  obliger
offer  offrir
enough  assez
education  éducation
across  de l'autre côté
although  même si
remember  rappelles toi
foot  le pied
second  seconde
boy  garçon
maybe  peut être
toward  vers
able  pouvoir
age  âge
policy  politique
everything  tout
love  amour
process  traiter
music  la musique
including  y compris
consider  considérer
appear  apparaître
actually  en fait
buy  acheter
probably  probablement
human  humain
wait  attendre
serve  servir
market  marché
die  mourir
send  envoyer
expect  attendre
sense  sens
build  construire
stay  rester
fall  tomber
oh  oh
